	X222	X223	X224	X225	X226	X228	X230	X231	X232	X233	X234	X235	X236	X237	X238	X239	X240	X241	X242	X243	X244	X245	X246	X247	X248	X249	X250
bOTU_1653	0	176.6062175	0	0	834.1227046	3389.158192	893.5699902	371.1123569	882.262191	836.059357	1037.794725	142.7445993	2458.977255	1570.443522	548.8146881	951.7041882	1481.082501	680.0735506	582.218709	478.2799672	293.1533723	1041.465812	0	0	0	152.2501159	0
bOTU_168	0	176.6062175	0	243.6402741	2502.368114	484.1654561	893.5699902	4329.644164	8430.50538	6688.474856	8895.383354	2712.147386	393.4363608	1177.832642	686.0183602	1142.045026	4258.112192	388.6134575	97.03645149	382.6239738	0	0	318.9710185	0	75.18436328	1522.501159	0
bOTU_89	391.3286079	1236.243523	0	568.4939729	3892.572622	605.2068201	4723.155663	4453.348283	2842.844838	1839.330585	2372.102228	856.4675956	3049.131796	588.9163208	1097.629376	1903.408376	2869.597346	485.7668219	873.3280634	95.65599344	1856.638025	1041.465812	106.3236728	86.70428897	0	2436.001854	0
bOTU_1136	586.9929119	353.2124351	944.0586909	730.9208223	973.1431554	0	1021.222846	494.8164759	294.087397	334.4237428	444.7691677	428.2337978	1377.027263	3239.039765	960.4257042	951.7041882	1110.811876	485.7668219	291.1093545	0	293.1533723	607.5217238	0	0	0	152.2501159	0
bOTU_14218	489.1607599	88.30310877	85.82351736	243.6402741	278.0409015	121.041364	127.6528557	618.5205949	392.1165293	167.2118714	296.5127785	142.7445993	0	98.15272014	137.203672	190.3408376	92.56765634	194.3067287	97.03645149	95.65599344	684.0245354	86.78881769	106.3236728	0	300.7374531	0	456.7267578
bOTU_42	97.83215198	1942.668393	686.5881388	243.6402741	9314.370202	8593.936845	10850.49274	12741.52425	7842.330586	6855.686727	8747.126965	4139.593379	590.1545412	981.5272014	1234.833048	666.1929317	1018.24422	0	0	0	488.5889539	173.5776354	318.9710185	260.1128669	0	609.0004634	152.2422526
bOTU_1010	97.83215198	883.0310877	686.5881388	487.2805482	0	242.082728	382.9585672	123.704119	294.087397	334.4237428	148.2563892	1141.956794	0	294.4581604	274.4073441	0	277.702969	0	97.03645149	0	97.71779078	0	0	86.70428897	300.7374531	0	76.1211263
bOTU_505	195.664304	176.6062175	257.4705521	162.4268494	834.1227046	1936.661824	510.611423	1237.04119	980.2913233	167.2118714	741.2819461	856.4675956	393.4363608	0	823.2220322	190.3408376	0	97.15336437	0	95.65599344	0	433.9440885	0	0	0	152.2501159	304.4845052
bOTU_628	0	2119.274611	1201.529243	2761.25644	139.0204508	121.041364	382.9585672	123.704119	196.0582647	334.4237428	444.7691677	285.4891985	590.1545412	1275.985362	3292.888129	1713.067539	1573.650158	1554.45383	0	191.3119869	195.4355816	0	744.2657097	0	0	0	0
bOTU_24	489.1607599	2472.487046	1115.705726	893.3476717	278.0409015	363.124092	510.611423	1608.153547	1372.407853	167.2118714	148.2563892	1284.701393	491.795451	11483.86826	823.2220322	1427.556282	1110.811876	1845.913923	1649.619675	765.2479475	293.1533723	867.8881769	318.9710185	433.5214448	1428.502902	913.5006951	1446.3014
bOTU_2306	0	0	0	0	2085.306762	2541.868644	1659.487125	2102.970023	1568.466117	1003.271228	1482.563892	713.7229963	1377.027263	687.069041	686.0183602	1142.045026	1203.379532	388.6134575	194.072903	95.65599344	97.71779078	520.7329061	106.3236728	0	0	0	0
bOTU_497	293.4964559	618.1217614	171.6470347	81.2134247	3336.490818	605.2068201	1787.13998	3463.715331	2352.699176	3344.237428	3409.896952	1141.956794	1672.104533	687.069041	960.4257042	1427.556282	1758.78547	2234.527381	582.218709	95.65599344	781.7423262	1475.409901	0	0	0	0	0
bOTU_46	0	971.3341965	257.4705521	324.8536988	2363.347663	1452.496368	1531.834269	5814.093592	5293.573146	2842.601814	4744.204455	285.4891985	786.8727216	0	9192.646026	761.3633506	92.56765634	0	291.1093545	286.9679803	684.0245354	86.78881769	318.9710185	0	75.18436328	609.0004634	0
bOTU_1620	684.8250638	5563.095853	1802.293864	2598.82959	139.0204508	363.124092	638.2642787	2102.970023	2352.699176	501.6356142	1037.794725	713.7229963	2754.054526	18354.55867	1783.647736	4187.498428	2499.326721	3594.674482	3008.129996	2582.711823	1465.766862	1996.142807	1701.178765	520.2257338	2255.530898	761.2505793	1370.180273
